epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.6519396551724138,0.9865453715982109,0.7291666666666666,0.7106294433275858
1,0.7025862068965517,0.7388438417993742,0.75,0.5829777717590332
2,0.728448275862069,0.64855095744133,0.7708333333333334,0.5951977074146271
3,0.7521551724137931,0.5991350741221987,0.7708333333333334,0.591620147228241
4,0.7489224137931034,0.5901251507216486,0.78125,0.5506892204284668
5,0.759698275862069,0.5419742845255753,0.7708333333333334,0.49811607599258423
6,0.7672413793103449,0.5434377183174265,0.7604166666666666,0.5585914651552836
7,0.7672413793103449,0.5102839593229622,0.8020833333333334,0.5146205127239227
8,0.7790948275862069,0.5079873502254486,0.7395833333333334,0.6216460963090261
9,0.7931034482758621,0.4867384608449607,0.71875,0.6042917768160502
10,0.7995689655172413,0.487318299453834,0.75,0.5894786417484283
11,0.7834051724137931,0.47127239149192285,0.7604166666666666,0.6304352084795634
12,0.7920258620689655,0.4582880129074228,0.78125,0.5863472719987234
13,0.8125,0.4365095033727843,0.78125,0.5447923938433329
14,0.8071120689655172,0.4344274514708026,0.78125,0.4933578670024872
15,0.8092672413793104,0.43813754361251306,0.75,0.6269548137982687
16,0.822198275862069,0.4128838510348879,0.7708333333333334,0.5317528247833252
17,0.8362068965517241,0.38915351752577154,0.7708333333333334,0.5929192304611206
18,0.8254310344827587,0.40149483033295336,0.7708333333333334,0.5813484291235606
19,0.8448275862068966,0.36781442422291327,0.8333333333333334,0.4959749976793925
20,0.8329741379310345,0.3845363367220451,0.7291666666666666,0.6432463725407919
21,0.8609913793103449,0.3367220004057062,0.7708333333333334,0.6101456979910532
22,0.8631465517241379,0.3351916156966111,0.7916666666666666,0.6079711318016052
23,0.8717672413793104,0.3317211239502348,0.8020833333333334,0.48850678900877637
24,0.8771551724137931,0.3061216365674446,0.7708333333333334,0.6308131615320841
25,0.8739224137931034,0.3046001776539046,0.8229166666666666,0.4725453158219655
26,0.8803879310344828,0.3033565072150066,0.75,0.593596875667572
27,0.8976293103448276,0.27348629256774637,0.7916666666666666,0.5825461149215698
28,0.896551724137931,0.2523992999360479,0.8125,0.5522942543029785
29,0.9073275862068966,0.23178589446791287,0.8229166666666666,0.5307713150978088
30,0.915948275862069,0.22352591028501248,0.8125,0.4508066475391388
31,0.915948275862069,0.21240176877071118,0.8229166666666666,0.6090961794058481
32,0.9170258620689655,0.20604252686788296,0.8125,0.59151291847229
33,0.915948275862069,0.22362419294899907,0.8020833333333334,0.4962882399559021
34,0.9224137931034483,0.20846200329733305,0.78125,0.6146392722924551
35,0.9267241379310345,0.18167242240802994,0.8125,0.551105817159017
36,0.9331896551724138,0.17396753743804735,0.7916666666666666,0.5615072250366211
37,0.9385775862068966,0.16925316329660087,0.8541666666666666,0.5162615676720937
38,0.9385775862068966,0.16606340775715894,0.8645833333333334,0.5692214965820312
39,0.959051724137931,0.11867583979820383,0.84375,0.5142612357934316
40,0.9612068965517241,0.1236166421902077,0.84375,0.6344596246878306
