,Name,Training Accuracy,Validation Accuracy,Test Accuracy
0,resnet,0.5794047614080565,0.3791666673289405,0.39631782922633857
1,inception,0.6720238095521927,0.6587962971793281,0.6274224776168202
2,inceptionresnet,0.6926785717691694,0.6402777784400516,0.6133720923301785
3,densenet,0.707619048016412,0.6305555582046509,0.6550387656965921
4,xception,0.5741071436234882,0.18379629651705426,0.18410852742056513
5,vgg,0.5825595236888954,0.6319444431198968,0.626937982647918
