epoch,loss,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,0.014718729657735935,0.0526542577788701,0.014718729400648719,0.0030563021050169442,0.034886092217353726,0.003056302120582224
1,0.0009240096336383152,0.022963518859617386,0.00092400963700503,0.002986260930408301,0.03432252566254903,0.002986260923274214
2,0.0008291257166089523,0.021749272348054193,0.0008291257173390832,0.0028287447777558586,0.03449932888440767,0.0028287447842413917
3,0.0007498241644612277,0.02022003951751812,0.0007498241670978116,0.002664043261957534,0.03504421269329146,0.0026640432606604273
4,0.0006910120366621464,0.018711143899514285,0.0006910120397449215,0.002775154576551242,0.037323664811577305,0.002775154588873755
5,0.0006393545061408279,0.01713670683109594,0.0006393545066275819,0.0030470917884696243,0.041574835839543835,0.0030470917586361713
6,0.0005932026631555777,0.01573700385317466,0.0005932026653865332,0.0032926934620775387,0.044829236608112756,0.0032926934698601787
7,0.0005574529387384576,0.014721126251493804,0.0005574529407868804,0.00350179680438925,0.046930518343754134,0.0035017967985522696
8,0.0005302309680840435,0.013979813692124256,0.0005302309711668186,0.0035886591913899756,0.04737793203847986,0.0035886591939841886
9,0.0005071903791283468,0.01339498627606377,0.0005071903820488705,0.003587589809971973,0.04680181280152047,0.0035875898145118464
10,0.0004900928132012097,0.012960233483528425,0.0004900928174400254,0.0036636025399685653,0.04678219302575568,0.0036636025445084385
11,0.0004760245948531811,0.012614392343817688,0.00047602459854439864,0.0036524325767454163,0.04596506437924911,0.003652432595553463
12,0.0004633808967889407,0.012322081479435391,0.0004633808992632733,0.003676334288993378,0.04583598912011282,0.0036763343136384046
13,0.0004525899723008314,0.012075643262822662,0.00045258997493741534,0.003670506375195837,0.045286367437218554,0.0036705063888154573
