epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.5710119052869933,0.10932098037430218,0.27407407330142125,0.15504582855436538
1,0.6344047610248839,0.08571692159133298,0.1421296299331718,0.1786495437224706
2,0.6661309537717274,0.0792145669886044,0.13657407404647934,0.1958341856797536
3,0.6929761894260134,0.07514669789799622,0.11944444353381793,0.19406330519252354
4,0.7141071443046842,0.07049563298267977,0.1222222221808301,0.18926991323630016
5,0.7286904770987375,0.06810571803578308,0.16666666716337203,0.19804631504747602
6,0.7482142850330897,0.06490375418748175,0.46064814660284253,0.13079003360536362
7,0.7622023819174085,0.061571735819535595,0.5416666660043928,0.10978201776742935
8,0.7730952383790697,0.05936167384364775,0.35000000331136916,0.14929836955335404
9,0.7861309524944851,0.05706275492374386,0.5337962938679589,0.11349408593442704
10,0.7924999982970101,0.05527624735874789,0.20324074029922484,0.1730958107444975
11,0.8022619049889701,0.05321108289062977,0.1453703691975938,0.22590838770071667
12,0.8135714268684388,0.050923641196319036,0.13703703640235795,0.23267784449789258
13,0.8200595230715615,0.04934281405593668,0.6217592643366919,0.10453313274515999
14,0.8235119039671762,0.04815304277198655,0.19537037163972854,0.22443053821722667
15,0.8361904752254486,0.04534193072468042,0.4064814799361759,0.1425724799434344
16,0.8376785722800664,0.045275243209408865,0.42268518540594313,0.1423164430591795
17,0.8508928573131561,0.04202201433745878,0.2509259260363049,0.17703046434455447
18,0.8499404764175416,0.041250626032373734,0.3101851850748062,0.18902293476793502
19,0.8592261915547507,0.039583738672414,0.21851851923598184,0.17669726378387876
20,0.8645238091264452,0.03834166216397924,0.23287037081188625,0.17914600206745995
21,0.8654166681425912,0.037972863718335116,0.20092592553959954,0.17611237466335297
22,0.8722023798738208,0.03608944125739592,0.2986111116078165,0.1910499996609158
23,0.878749999489103,0.035025273894092865,0.20185185190704133,0.20978914466169146
