epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.5830952404439449,0.10511486299335956,0.15138888814383084,0.2009156088034312
1,0.6473214278902326,0.08538820912795407,0.12175925883154075,0.19675197435749903
2,0.6822023801292691,0.07758162754986968,0.12129629602034887,0.21375457975599502
3,0.7009523807253156,0.07326037298355784,0.11620370377269056,0.21494257118966845
4,0.7269047614506313,0.06869684332183429,0.11481481475962532,0.21485632889800602
5,0.7386309519835881,0.06607207319566182,0.10694444378217062,0.23609575629234314
6,0.751011905840465,0.0632684952127082,0.11435185116198328,0.22207618455092112
7,0.760892858164651,0.06091625089624098,0.11388888868192831,0.2608042038149304
8,0.7752976199558803,0.0583676170025553,0.11990740725563633,0.24197485943635305
9,0.7826190495491028,0.0568196905617203,0.15092592587073644,0.21199571324719324
10,0.78738095334598,0.05524363213351795,0.14259259237183464,0.2361739115582572
11,0.8013095229012626,0.05293227079191378,0.13888888897167312,0.22319507930013868
