epoch,loss,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,0.0063355117849681125,0.04024398461866877,0.006335511831128613,0.0029968409208855837,0.03805899666751992,0.0029968409325595437
1,0.0009235870899496282,0.02258910078957729,0.0009235870931540918,0.003044524977196392,0.03830075737161557,0.0030445249739536255
2,0.0008168586944343476,0.0212757218161838,0.0008168586945560361,0.0030086564210121593,0.03804194093954264,0.003008656412580966
3,0.0007588219562000254,0.02035862956884015,0.0007588219599318058,0.002982276105931584,0.03797428387743849,0.002982276102040264
4,0.0007130312270935923,0.019416563599678697,0.0007130312305414329,0.0029473367742519608,0.03795069022348,0.0029473367878715805
5,0.0006717784711539434,0.01845668304049595,0.0006717784728170194,0.003068736590922377,0.0395562286102174,0.0030687366012992303
6,0.0006343219315678608,0.017494068579027876,0.0006343219338393793,0.0033145576162901926,0.0421786336721152,0.0033145576318554726
7,0.0006026225016478332,0.016615637559898016,0.0006026225041627286,0.0035935606623281177,0.04479096678389148,0.0035935606765962907
8,0.0005752093665697693,0.015849128817224337,0.0005752093674215887,0.0038012223964178295,0.04658718264991194,0.0038012223977149364
9,0.0005519623146149028,0.015199755883746446,0.0005519623154870036,0.0039013145727554237,0.047511786087558794,0.003901314571458317
