epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.5927976186147758,0.10517914807157858,0.5199074056413439,0.1300384369161394
1,0.663571429337774,0.08347331451518195,0.4962962938679589,0.13053403745094935
2,0.6966666655881064,0.0749649583867618,0.3814814825852712,0.14792625192138883
3,0.7285714287417275,0.06888838408248765,0.5162037008338505,0.13265003396405114
4,0.7517261903626579,0.06391224505645889,0.22500000066227382,0.1735896372132831
5,0.768511905670166,0.060323315816266196,0.5300925923718347,0.1269108000728819
6,0.787380953005382,0.05609139872448785,0.5212962965170542,0.1490305182006624
7,0.7956547623021262,0.05412821688822338,0.5074074063036177,0.1343685602148374
8,0.8071428562913622,0.05178250749196325,0.29722222354676986,0.1681991759273741
9,0.8203571426868439,0.048827357866934366,0.5481481459405687,0.1420030641886923
10,0.8257142865657806,0.04754975007048675,0.5282407363255819,0.15875864177942275
11,0.8301785702364786,0.045946303845516276,0.5199074029922486,0.15605548686451381
12,0.8425595240933554,0.04327313690313271,0.4990740736325582,0.1418990660044882
13,0.8440476196152823,0.042715053018182514,0.5273148165808783,0.15780033121506373
14,0.8522023829392025,0.04063942177487271,0.1745370368162791,0.18891602721479203
15,0.8617261903626579,0.03853811609425715,0.11990740737981266,0.21456205712424384
