epoch,loss,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,0.005349597074326699,0.03567090597432042,0.005349597122961532,0.0029729680147821025,0.03707141344095671,0.002972968006999463
1,0.0007904062194032562,0.01985573343257663,0.0007904062207823924,0.0028772547193815865,0.03659622710519846,0.0028772547317040998
2,0.0007123813883706486,0.018088824601798524,0.0007123813919807405,0.0028468836942028702,0.03656158771646056,0.0028468837052282765
3,0.0006626979649498513,0.01695380647267614,0.0006626979666129274,0.0028253186164646925,0.03617694602454273,0.002825318631381419
4,0.0006235512666313386,0.015974383222309138,0.0006235512702414305,0.002887487214987366,0.0362232742224065,0.002887487228606986
5,0.0005940636167649946,0.015215915293539857,0.000594063619766644,0.002817839151248336,0.03523028115832706,0.002817839175244809
6,0.0005699363136777609,0.014599966295452899,0.0005699363163143448,0.002798580089817472,0.03471207976195972,0.0027985801047341985
7,0.0005519667855311405,0.014135299175847906,0.0005519667877620962,0.0027810317194374655,0.0342944942954357,0.0027810317304628723
8,0.0005350832908717714,0.013691756421317206,0.0005350832930824457,0.00279356990383113,0.03413541457799982,0.0027935699148565365
9,0.0005212541994312616,0.013316844513425637,0.0005212542010132119,0.0027693749456030826,0.03372396033744958,0.002769374958574149
10,0.0005102450939914283,0.013018581448350011,0.0005102450975203945,0.0027924190751409217,0.03375422027387493,0.0027924191036772677
11,0.000500371842219199,0.012772254439440753,0.0005003718451600042,0.002767382253189688,0.0334246851721763,0.002767382288860121
12,0.0004914373288398368,0.012547783681454351,0.0004914373321254261,0.002761163690430955,0.0332074858518032,0.0027611637248042813
13,0.0004836288403487644,0.012356072809638047,0.0004836288436749165,0.0027371553320199,0.03304965407548675,0.00273715536509612
14,0.0004762392042274506,0.012188994078426411,0.00047623920773613536,0.0027535382125132347,0.03301900544808269,0.002753538228727068
15,0.00046947355808459794,0.01203524735447941,0.0004694735610456845,0.0027651498930834875,0.03304785104017072,0.0027651499449677535
16,0.00046321701234894503,0.011895556808919856,0.00046321701644579084,0.0027570597390309598,0.032888189176081946,0.0027570597740528393
17,0.0004559611874260982,0.011745180559542536,0.0004559611912998484,0.002768224499559336,0.03291426418468481,0.0027682245177188293
18,0.00045036209050731453,0.011634699793253418,0.0004503620952126028,0.0027869176781090354,0.03299954079070795,0.0027869177085910416
