epoch,loss,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,0.009731043848932724,0.05797388870853165,0.009731043893227334,0.0020237005780085215,0.02977415520832731,0.0020237005922766945
1,0.0025523916839294216,0.03741890307295198,0.0025523916891214637,0.0019728578786005094,0.029619873177083755,0.0019728578811947224
2,0.0025139931078273347,0.03728477245371931,0.0025139931097743506,0.0019386566751883015,0.02968031225575544,0.0019386566855651547
3,0.0024914972620402893,0.037128011721351835,0.002491497259931022,0.0019228934465380888,0.029279526774473177,0.001922893437782619
4,0.002470066327316109,0.036950492048928134,0.002470066328938622,0.001909240990459483,0.02916799656901519,0.0019092409933779732
5,0.002436360763385892,0.03650751336111009,0.0024363607667931696,0.0018609592030836596,0.027691716841917517,0.0018609592063264261
6,0.001509770439030726,0.02575034720479196,0.001509770442600255,0.0007693147446316845,0.017203354165165538,0.0007693147496579729
7,0.0009011144016038639,0.021543979771980425,0.0009011144035508797,0.0006925908877503926,0.017757769009944125,0.0006925908888853609
8,0.0008031047788571942,0.020834000123087122,0.0008031047821022207,0.0006677025144668114,0.017841263126820574,0.0006677025165746097
9,0.0007436670448536943,0.020000248038914144,0.0007436670453810111,0.0006497534702747314,0.017582052244615422,0.0006497534746524663
10,0.0006926340754760449,0.018984456164340524,0.0006926340783560058,0.0006275910022863106,0.017145952728672944,0.0006275910053669389
11,0.000646008384934844,0.01797272255222349,0.0006460083862734173,0.0005963680340550467,0.016211828229881427,0.0005963680364871216
12,0.0006042414980061119,0.01699480353254267,0.00060424150084551,0.0005630890477719797,0.015178706439881272,0.0005630890499608472
13,0.0005688203325923467,0.01612580702591441,0.0005688203343568298,0.00053469794596452,0.014437924403811397,0.0005346979480723183
14,0.0005397023297059398,0.015405977346678021,0.0005397023305171965,0.0005106730531728605,0.013838000356901987,0.0005106730579559414
15,0.0005152942588632336,0.014793297726959509,0.0005152942631426121,0.0004903377422253526,0.013284404889205704,0.0004903377468462951
16,0.0004946003560924363,0.014271657587473608,0.000494600357877201,0.00047220803726228435,0.01283836822624741,0.00047220804228857266
17,0.00047655684955804267,0.013817678789773677,0.00047655685290447615,0.00045687552795403,0.012508751930860922,0.0004568755337099407
18,0.00046171970005903253,0.013422141638860262,0.0004617197022697067,0.0004424945336849556,0.012142814470138557,0.00044249453652237637
19,0.00044779150334238774,0.013057151592566991,0.00044779150528940354,0.00043105462878620805,0.01180435702578271,0.00043105463283966635
20,0.0004359878825375856,0.012744685455196202,0.00043598788454544566,0.00041985203360251483,0.011593193684842094,0.0004198520357103131
21,0.0004259218267718401,0.012479662252687412,0.00042592182843491616,0.0004110404606915045,0.011376931064847785,0.00041104046206968036
22,0.00041665212518555023,0.012235572546694544,0.0004166521282480439,0.00040263607663499365,0.01113339591366667,0.0004026360811748669
23,0.0004079342910611048,0.012006310711027438,0.0004079342932109348,0.0003959832651881776,0.010941867986408615,0.0003959832691605667
24,0.0004002512156604773,0.011794721973144842,0.0004002512175669303,0.0003879259766564603,0.010810086558103395,0.00038792597949388114
25,0.0003932597792223875,0.011586354544405738,0.0003932597819806599,0.00038247506366394105,0.010605348206662202,0.00038247506771739936
