epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.5272619034456355,1.3079805261748179,0.52453703350491,6.307140996721055
1,0.6251785715137209,0.9274940754686083,0.5175925897227394,5.982220040427314
2,0.6633928569725581,0.8135625192097256,0.531018520726098,4.936913681030274
3,0.6939285714285715,0.7377267235517502,0.541203702820672,5.052377478281657
4,0.7216071443898338,0.6824608595030648,0.6023148165808784,3.2051380581325954
5,0.7351190480164119,0.6465295451028007,0.6013888888888889,4.365786054399279
6,0.7516071420056479,0.6183067833525794,0.5708333339956072,5.369170930650499
7,0.7659523817471096,0.5819781320435661,0.6555555555555556,1.9283249457677205
8,0.7763095230715615,0.5559528861301286,0.5861111091242897,3.3631311734517415
9,0.7854761907032558,0.53379667196955,0.6324074003431532,3.2590473916795517
10,0.7952976199558803,0.5166598589931215,0.6467592636744182,2.741967455546061
11,0.8044642867360796,0.49169040041310447,0.5624999940395355,5.2307396676805284
12,0.8098214278902326,0.4755004479629653,0.6662037014961243,1.7115506304634942
13,0.819761905329568,0.4533761417865753,0.5935185147656334,4.063473086886936
14,0.8284523819174086,0.4338184821179935,0.6444444470935398,2.614918197525872
15,0.8329761908735548,0.41940896643059594,0.5712962951925066,4.603351836734348
16,0.8407738094670432,0.401169756438051,0.5740740736325581,5.042524751027425
17,0.8455357141154153,0.391245832656111,0.6708333359824287,2.257708880636427
18,0.8544047626427241,0.3758201735786029,0.6365740729702843,3.7073908540937635
19,0.8616071426868439,0.3583012091262,0.5962962951925066,4.736154174804687
20,0.8660714277199336,0.3457011325870241,0.5962962971793281,4.066244920094808
21,0.8731547619615282,0.33411239572933743,0.6453703694873386,2.823077744907803
22,0.8726785705770765,0.32891160850014006,0.6611111111111111,2.999341869354248
