,Name,Training Accuracy,Validation Accuracy,Test Accuracy
0,densenet,0.7974137931034483,0.8541666666666666,0.7291666666666666
1,ensemble,0.8760775862068966,0.8958333333333334,0.84375
2,inception,0.7834051724137931,0.7916666666666666,0.7395833333333334
3,inceptionresnet,0.7446120689655172,0.78125,0.7916666666666666
4,resnet,0.9159482758620692,0.8125,0.84375
5,vgg,0.913793103448276,0.8645833333333334,0.8125
6,xception,0.7381465517241379,0.7291666666666666,0.6875
