epoch,loss,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,0.007922394733100429,0.05396418048893118,0.007922394713711397,0.0016979032467199816,0.023273828016557734,0.0016979032775262645
1,0.0012293799764084069,0.02495208962038419,0.0012293799783554226,0.002635083310461725,0.03390143218665568,0.002635083305921852
2,0.0009421743554767312,0.023040514036961134,0.0009421743566530533,0.002672717248253047,0.034598692608244906,0.002672717244361727
3,0.0008631815461730682,0.022037997388829337,0.0008631815502293512,0.002647831717578689,0.03458386063990819,0.002647831711093156
4,0.0008081804881462963,0.021082993738275373,0.0008081804938250925,0.0027092204307281207,0.03547901974622586,0.0027092204184056075
5,0.0007623051509394178,0.020141180330816046,0.0007623051532920619,0.0027912522725823197,0.03685791102500015,0.002791252277122193
6,0.0007213018290237735,0.01918427474822732,0.000721301831741483,0.0029050988258020874,0.038715416549972174,0.002905098832287621
7,0.0006859285010995168,0.0182650340948163,0.0006859285019513362,0.0030696515693046504,0.041054344318371294,0.003069651562170564
8,0.0006529510820703095,0.017381193779590652,0.0006529510868972862,0.00319841854640057,0.04285202456591521,0.0031984185593716364
9,0.0006258590665697818,0.016619220880940817,0.0006258590707883161,0.0033202606271485434,0.04429084759900829,0.00332026064011961
10,0.0006027520627743899,0.015938646406039127,0.0006027520680069949,0.0033664739033087963,0.04479306858437639,0.0033664738877435168
