epoch,loss,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,0.007162534546850165,0.040308503125135495,0.007162534603678689,0.0031461740336783,0.036064464557386704,0.00314617404924358
1,0.0008809280446292476,0.022078886946163525,0.0008809280463734492,0.0031593298730193987,0.036323843902615116,0.0031593298801534855
2,0.0008118684139128658,0.02121441998236686,0.0008118684139939914,0.0032153416465200008,0.037278094040982236,0.0032153416659766003
3,0.0007648815267041118,0.0204505529514277,0.0007648815271097401,0.0033656919120829084,0.03964681391056866,0.003365691925702528
4,0.0007169479300602232,0.01929875113044051,0.0007169479323723045,0.003594912249402955,0.043129236823918095,0.0035949122416203154
5,0.000671674090620935,0.017996995352234573,0.0006716740926085138,0.003859830127178087,0.04661350307109296,0.00385983012782664
6,0.000633441289977693,0.016917141463334968,0.0006334412925737141,0.004294128024244998,0.050968863184156527,0.0042941280125710374
7,0.0005995766802866154,0.015991532925243784,0.0005995766832071392,0.004780112680120388,0.05511522990415355,0.004780112684011709
8,0.0005702454607507039,0.015200910220759879,0.0005702454642796701,0.005105192042773065,0.05772671472893452,0.005105192042773065
9,0.0005458293799862577,0.0145287034689134,0.0005458293826431231,0.005287486739446277,0.05924305567792863,0.00528748673814917
10,0.0005255381963077854,0.013957828579256343,0.0005255382004046312,0.005347330875507968,0.05996059985379987,0.005347330870319542
