epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.6853448275862069,0.7635715326358532,0.71875,0.5647000273068746
1,0.7855603448275862,0.5067988767706114,0.7708333333333334,0.49828434983889264
2,0.7898706896551724,0.4816837464940959,0.7604166666666666,0.6282441814740499
3,0.7995689655172413,0.4591765208490964,0.8020833333333334,0.5137891372044882
4,0.8060344827586207,0.4417844070442792,0.8333333333333334,0.4744218687216441
5,0.8114224137931034,0.44381016595610256,0.8333333333333334,0.39141032099723816
6,0.8275862068965517,0.4133162344324178,0.8333333333333334,0.39246679345766705
7,0.8308189655172413,0.40826492987830065,0.875,0.39955779910087585
8,0.834051724137931,0.3973938653181339,0.8333333333333334,0.4026864469051361
9,0.8308189655172413,0.38602859912247495,0.8333333333333334,0.4045352041721344
10,0.8480603448275862,0.3740058310072997,0.8541666666666666,0.3865332305431366
11,0.8502155172413793,0.372610486786941,0.8333333333333334,0.42757198214530945
12,0.8577586206896551,0.3631756362216226,0.8541666666666666,0.3995000422000885
13,0.8631465517241379,0.3517269718235937,0.8541666666666666,0.37976835171381634
14,0.8588362068965517,0.3459898331041994,0.8333333333333334,0.47244680921236676
15,0.8642241379310345,0.3457386663247799,0.8541666666666666,0.4021674394607544
16,0.8685344827586207,0.32110461489907627,0.8125,0.40886813402175903
17,0.8739224137931034,0.3090043057655466,0.8645833333333334,0.36850662032763165
18,0.8814655172413793,0.306791034751925,0.875,0.3435404300689697
19,0.884698275862069,0.2852255902413664,0.8854166666666666,0.33746594687302905
20,0.8954741379310345,0.2797654106699187,0.84375,0.391462375720342
21,0.8857758620689655,0.2857054376910473,0.875,0.3622540235519409
22,0.8954741379310345,0.2686442547831042,0.8645833333333334,0.39080814520517987
23,0.8943965517241379,0.26635417265111,0.8854166666666666,0.3520267407099406
24,0.90625,0.25361381728073645,0.84375,0.45370492339134216
25,0.9116379310344828,0.24091683764909877,0.8541666666666666,0.39480846623579663
26,0.915948275862069,0.22079854124578938,0.78125,0.5832985838254293
27,0.9245689655172413,0.20570029857857475,0.8125,0.5639355182647705
28,0.9202586206896551,0.21121195472519974,0.8125,0.5084857443968455
29,0.9191810344827587,0.22084971376020332,0.8125,0.5020756721496582
