,Name,Training Accuracy,Validation Accuracy,Test Accuracy
0,resnet,0.5790476175504071,0.16203703723020024,0.16327519281659014
1,inception,0.5706547616209303,0.6032407442728679,0.5867248045843702
2,inceptionresnet,0.6970833326237542,0.5499999953640832,0.5944767407206601
3,densenet,0.7867261917250497,0.6296296318372091,0.5813953495302866
4,xception,0.5790476194449834,0.12361111057301362,0.1283914726660695
5,vgg,0.8081547631536211,0.7388888875643412,0.6463178285332614
