,Name,Training Accuracy,Validation Accuracy,Test Accuracy
0,resnet,0.8653017241379308,0.8020833333333334,0.8125
1,inception,0.8135775862068966,0.8229166666666666,0.75
2,inceptionresnet,0.78125,0.8541666666666666,0.78125
3,densenet,0.8566810344827587,0.8541666666666666,0.78125
4,xception,0.8512931034482759,0.7916666666666666,0.78125
5,vgg,0.9665948275862069,0.90625,0.8645833333333334
